ilan_id,portfoy_tipi,ilan_turu,mahalle,oda_sayisi,metrekare,fiyat,onceki_fiyat,ilan_tarihi,son_fiyat_guncelleme,durum,fiyat_m2,ilan_yasi_gun,fiyat_degisimi_yuzde,portfoy_oncelik_skoru
TRS-00001,Daire,Kiralık,Gaziler,2+1,117,11000,12000,2026-07-21,2026-07-30,Aktif,94.02,27,-8.33,17.3
TRS-00002,Daire,Satılık,Yeni Mahalle,1+1,184,6547000,7206000,2026-03-03,2026-06-24,Aktif,35581.52,167,-9.15,49.2
TRS-00003,Müstakil Ev,Satılık,Yeni Mahalle,5+1,278,9160000,9160000,2026-07-08,,Aktif,32949.64,40,0.0,23.3
TRS-00004,Daire,Kiralık,Yeşil Mahalle,3+1,79,8300,8300,2026-03-15,,Aktif,105.06,155,0.0,50.0
TRS-00005,Müstakil Ev,Satılık,Yeni Mahalle,2+1,196,6952000,7748000,2026-03-09,2026-07-01,Aktif,35469.39,161,-10.27,50.3
TRS-00006,Daire,Kiralık,Yeni Mahalle,2+1,75,10800,10800,2026-05-11,,Aktif,144.0,98,0.0,42.7
TRS-00007,Daire,Kiralık,Yeşil Mahalle,3+1,108,10500,11000,2026-02-23,2026-05-31,Aktif,97.22,175,-4.55,44.6
TRS-00008,Daire,Kiralık,Bahçe,2+1,124,13700,13700,2026-08-02,,Aktif,110.48,15,0.0,15.0
TRS-00009,Villa,Kiralık,Yeni Mahalle,3+1,228,24900,27000,2026-03-24,2026-07-07,Aktif,109.21,146,-7.78,47.8
TRS-00010,Daire,Satılık,Kızılmurat,3+1,118,3016000,3467000,2026-04-29,2026-06-26,Aktif,25559.32,110,-13.01,49.7
TRS-00011,Daire,Satılık,Şahin,1+1,67,1816000,1954000,2026-07-07,2026-07-20,Aktif,27104.48,41,-7.06,20.7
TRS-00012,Ofis,Kiralık,Eski Yol,1+0,171,14200,14000,2026-07-18,2026-07-30,Aktif,83.04,30,1.43,10.0
TRS-00013,Daire,Kiralık,Yeşil Mahalle,4+1,95,6000,6000,2026-06-10,2026-07-25,Aktif,63.16,68,0.0,22.7
TRS-00014,Villa,Satılık,Akşemsettin,4+1,199,6601000,6257000,2026-03-31,2026-06-10,Aktif,33170.85,139,5.5,40.0
TRS-00015,Daire,Kiralık,Kızılmurat,2+1,133,8000,8000,2026-03-24,2026-08-06,Aktif,60.15,146,0.0,40.0
TRS-00016,Müstakil Ev,Satılık,Reşadiye,5+1,268,6966000,6966000,2026-07-05,,Aktif,25992.54,43,0.0,24.3
TRS-00017,Daire,Satılık,Eski Yol,2+1,193,4350000,4950000,2026-05-06,2026-05-25,Aktif,22538.86,103,-12.12,46.5
TRS-00018,Daire,Satılık,Kızılmurat,3+1,71,1400000,1400000,2026-03-28,,Aktif,19718.31,142,0.0,50.0
TRS-00019,Daire,Satılık,Bahçe,1+1,113,3758000,3758000,2026-05-24,,Aktif,33256.64,85,0.0,38.3
TRS-00020,Daire,Kiralık,Bahçe,2+1,109,12300,12000,2026-03-23,2026-07-16,Aktif,112.84,147,2.5,40.0
TRS-00021,Daire,Kiralık,Bahçe,4+1,145,13700,15000,2026-08-03,2026-08-06,Aktif,94.48,14,-8.67,13.3
TRS-00022,Villa,Satılık,Yeşil Mahalle,3+1,223,5621000,5621000,2026-04-24,,Aktif,25206.28,115,0.0,48.3
TRS-00023,Daire,Satılık,Şahin,4+1,74,2515000,2515000,2026-03-29,,Aktif,33986.49,141,0.0,50.0
